所购商品,数量,购买日期,金额（元）,类别,备注,购物平台
B超,,2025年1月6日,73.3,女儿费用,,卫生院
粉面馆,1份,2025年2月11日,20,吃,削骨肉盖码饭,线下
湘潭供电分公司,,2025年2月11日,200,水电气话费,,
干扣,1碗,2025年2月16日,8,吃,元元,线下
梗小姐内蒙牛肉筋,3袋,2025年2月18日,59.9,吃,125g/袋,抖音
干扣加蛋,1碗,2025年2月18日,9,吃,元元,线下
可乐,1瓶,2025年2月18日,2,喝,颜勇,线下
湖南省税务局,,2025年2月18日,1011,保险,1、2、3月,灵活医保
新时代+饮料,1条,2025年2月18日,110,抽,颜勇,线下
零食水果,,2025年2月22日,60.2,吃,优尔惠,线下
水果,各种,2025年2月23日,64.9,吃,壹壹果业,线下
湘潭供电分公司,,2025年2月23日,200,水电气话费,,
湘潭中环水务,,2025年2月23日,50,水电气话费,,
湘潭新奥燃气,,2025年2月23日,50,水电气话费,,
bincoo不锈钢摩卡壶,1个,2025年2月23日,103,喝,配滤纸+布粉器,拼多多
黄金叶,1包,2025年2月23日,20,抽,颜勇,线下
新时代,1条,2025年2月23日,110,抽,颜勇,线下
忘了什么烟,1包,2025年2月23日,25,抽,民润,线下
二硫化硒洗发水,1瓶,2025年2月23日,28.31,生活用品,原价34.8,拼多多
Open AI API充值,USD5,2025年2月23日,37.68,工作花销,海南莱成玖,WildCard
白象香菜面,10袋,2025年2月24日,39.9,吃,,抖音
空刻免煮意面,4盒,2025年2月24日,59.9,吃,,抖音
lavaza咖啡豆,1kg,2025年2月24日,116,喝,原价123,拼多多
统一绿茶+菊川家威士忌,各一瓶,2025年2月24日,21.7,喝,优尔惠,线下
黄油美式+美式,2杯,2025年2月24日,36.44,喝,瑞幸,外卖
粉面馆,1份,2025年2月25日,20,吃,削骨肉盖码饭,线下
干扣,1碗,2025年2月25日,8,吃,元元,线下
900毫升雪碧,1瓶,2025年2月27日,5,喝,民润,线下
红双喜,1包,2025年2月27日,17,抽,民润,线下
新时代,1条,2025年2月28日,107,抽,颜勇,线下
零度可乐2L,1瓶,2025年3月1日,6.1,喝,优尔惠,线下
1595精酿啤酒,2瓶,2025年3月1日,31,喝,优尔惠,线下
蒜香花生,散装,2025年3月1日,6.3,吃,优尔惠,线下
黄姜片,散装,2025年3月1日,2.8,吃,优尔惠,线下
奶制品+榴莲酥,,2025年3月2日,27.19,吃,七味酥铺,线下
柠季,2杯,2025年3月2日,34,女儿费用,,线下
珍珠（奶茶）,,2025年3月2日,13.9,女儿费用,,京东
荞麦方便面,1箱,2025年3月3日,38.9,吃,,抖音
蚕豆,散装,2025年3月3日,13.1,吃,优尔惠,线下
新时代,1条,2025年3月3日,107,抽,颜勇,线下
米粉,1碗,2025年3月4日,7,吃,元元,线下
中国电信,,2025年3月4日,200,水电气话费,,
元气森林,1瓶,2025年3月6日,5,喝,颜勇,线下
星巴克+茉莉清茶,2瓶,2025年3月6日,8.5,喝,零食很忙,线下
课后服务费,,2025年3月6日,380,女儿费用,育才学校（袁笑380）,线下
苹果醋,,2025年3月6日,3,女儿费用,,线下
Claude,USD5,2025年3月6日,37.62,工作花销,API,WildCard
Grok充值,USD5,2025年3月6日,37.62,工作花销,API,WildCard
滴滴,,2025年3月6日,11.49,车,4S店补漆，回来打的,线上
猪肉铺+Q仔布丁+可乐+薯片,,2025年3月8日,47.66,吃,戴永红,线下
老香港蛋糕+熔岩巧克力蛋糕+泡芙+蟹黄锅巴,,2025年3月8日,45.96,吃,七味酥铺（充值100，剩54）,线下
古茗,1杯,2025年3月8日,13.9,女儿费用,,线下
平安保险,,2025年3月8日,3371.13,车,,平安保险
平安保险冯丹,,2025年3月8日,-88,车,,平安保险
别克4S店,1个面,2025年3月8日,200,车,4S补漆工本费,线下
滴滴,,2025年3月8日,26.66,车,4S店补漆，过去打的,线上
干扣,1碗,2025年3月11日,8,吃,元元,线下
干扣,1碗,2025年3月12日,7,吃,元元,线下
可乐,1瓶,2025年3月13日,2,喝,颜勇,线下
新时代,1条,2025年3月13日,107,抽,颜勇,线下
饮料+水果,,2025年3月15日,42.1,喝,优尔惠,线下
泡菜,1份,2025年3月15日,37.4,吃,初鲜泡菜屋,线下
米酒,1桶,2025年3月16日,15,喝,优尔惠,线下
711咖啡,1杯,2025年3月16日,9.9,喝,711,线下
茉莉茶,1杯,2025年3月16日,9.9,喝,瑞幸,线下
烤串,2根,2025年3月16日,16,吃,711,线下
停车费,,2025年3月16日,5,女儿费用,送去跳舞,线下
沐浴露,,2025年3月16日,30,生活用品,优尔惠,线下
牙线,,2025年3月16日,1.9,生活用品,优尔惠,线下
可乐,1瓶,2025年3月17日,3,喝,,线下
辣椒炒肉,1份,2025年3月17日,15,吃,兴源粉面馆,线下
干扣,1碗,2025年3月17日,7,吃,元元,线下
新时代,1条,2025年3月17日,105,抽,颜勇,线下
汤面,1碗,2025年3月18日,6,吃,元元,线下
夏季校服,,2025年3月19日,120,女儿费用,,微信
干扣,1碗,2025年3月20日,7,吃,元元,线下
干扣,1碗,2025年3月21日,7,吃,元元,线下
外卖,1份,2025年3月21日,20.5,吃,美团,线上
零食+水果,,2025年3月21日,40.8,吃,优尔惠,线下
酸奶+椰汁+冰淇淋,,2025年3月22日,43.1,喝,优尔惠,线下
可乐,,2025年3月22日,5,喝,颜勇,线下
新时代,1条,2025年3月22日,105,抽,颜勇,线下
汤面,1碗,2025年3月23日,6,吃,元元,线下
湘潭供电分公司,,2025年3月23日,200,水电气话费,,
秋季校服,,2025年3月24日,120,女儿费用,,微信
